titulo,endereco,preco,area,quartos,banheiros,vagas,bairro,latitude,longitude
Apartamento em Uvaranas,"Rua Paula Xavier, 234 - Uvaranas",70544,34,1,1,0,Uvaranas,-25.083626352279705,-50.129099937634734
Apartamento em Jardim Sabara,"Rua Comendador Miró, 1500 - Jardim Sabara",319397,115,3,2,2,Jardim Sabara,-25.046909749381946,-50.1745304551324
Apartamento em Oficinas,"Rua Paula Xavier, 1916 - Oficinas",109554,66,3,1,1,Oficinas,-25.11965157342023,-50.150915482751884
Apartamento em Oficinas,"Av. Vicente Machado, 2664 - Oficinas",285697,69,2,1,1,Oficinas,-25.112648739414592,-50.14130261529264
Apartamento em Olarias,"Rua do Rosario, 2915 - Olarias",86741,36,1,1,0,Olarias,-25.099083236278503,-50.143807227843936
Apartamento em Orfãs,"Rua Paula Xavier, 987 - Orfãs",197837,53,3,1,1,Orfãs,-25.070179333641935,-50.16740490505415
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2386 - Olarias",58348,78,3,2,1,Olarias,-25.098822242364037,-50.13837948187441
Apartamento em Orfãs,"Av. Vicente Machado, 1322 - Orfãs",298711,67,2,1,1,Orfãs,-25.072891165013136,-50.17002996888936
Apartamento em Chapada,"Rua do Rosario, 2796 - Chapada",201244,75,2,2,1,Chapada,-25.03737803448916,-50.17016734248282
Apartamento em Vila Estrela,"Rua Balduino Taques, 1537 - Vila Estrela",688409,129,3,3,2,Vila Estrela,-25.10847248762522,-50.14601931339918
Apartamento em Chapada,"Rua do Rosario, 2167 - Chapada",180961,80,2,2,1,Chapada,-25.046427383975736,-50.17016669733719
Apartamento em Nova Russia,"Rua do Rosario, 2788 - Nova Russia",157127,57,2,1,1,Nova Russia,-25.079663793446898,-50.180225906826585
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2553 - Olarias",87553,59,2,1,1,Olarias,-25.095780152640092,-50.13871479621812
Apartamento em Chapada,"Rua Comendador Miró, 278 - Chapada",82549,45,1,1,0,Chapada,-25.035902086165873,-50.163808948211056
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 367 - Orfãs",128861,48,1,1,0,Orfãs,-25.06152145940595,-50.167351929483324
Apartamento em Uvaranas,"Av. Vicente Machado, 1191 - Uvaranas",340185,81,2,2,1,Uvaranas,-25.081587412784636,-50.130946098393984
Apartamento em Uvaranas,"Rua Paula Xavier, 468 - Uvaranas",149342,37,2,1,0,Uvaranas,-25.085011461777285,-50.132206561723834
Apartamento em Jardim Carvalho,"Av. Vicente Machado, 2142 - Jardim Carvalho",270664,53,2,1,1,Jardim Carvalho,-25.075400591856017,-50.157323731500206
Apartamento em Centro,"Rua Comendador Miró, 2227 - Centro",245300,62,2,1,1,Centro,-25.09008321099213,-50.169631690368256
Apartamento em Jardim Carvalho,"Av. Carlos Cavalcanti, 1828 - Jardim Carvalho",521312,76,2,2,1,Jardim Carvalho,-25.076994224219135,-50.15026834595437
Apartamento em Centro,"Rua Balduino Taques, 100 - Centro",752692,114,3,2,2,Centro,-25.0918311241689,-50.16603916584072
Apartamento em Ronda,"Rua do Rosario, 2650 - Ronda",152001,35,1,1,0,Ronda,-25.098236259271726,-50.18841751189923
Apartamento em Neves,"Rua Paula Xavier, 2695 - Neves",270068,77,2,2,1,Neves,-25.04702508787171,-50.14049962390761
Apartamento em Neves,"Rua Comendador Miró, 2864 - Neves",125654,73,2,2,1,Neves,-25.046563594458515,-50.140604217126345
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 1885 - Jardim Sabara",138445,50,2,1,1,Jardim Sabara,-25.048008141176055,-50.17659304340192
Apartamento em Contorno,"Rua Paula Xavier, 713 - Contorno",80997,44,1,1,0,Contorno,-25.121067617590967,-50.196844799358885
Apartamento em Boa Vista,"Rua Paula Xavier, 1190 - Boa Vista",223551,54,2,1,1,Boa Vista,-25.063757677885373,-50.15754888560127
Apartamento em Oficinas,"Rua Paula Xavier, 1877 - Oficinas",222670,52,3,1,1,Oficinas,-25.118988112467882,-50.14275726351297
Apartamento em Estrela,"Av. Vicente Machado, 2925 - Estrela",250253,92,3,2,1,Estrela,-25.102613794412598,-50.152279845023656
Apartamento em Olarias,"Av. Vicente Machado, 2910 - Olarias",68176,48,1,1,0,Olarias,-25.095499506927535,-50.14396963447589
Apartamento em Jardim Carvalho,"Rua Balduino Taques, 178 - Jardim Carvalho",474797,94,4,2,1,Jardim Carvalho,-25.072430965849367,-50.15691554687609
Apartamento em Neves,"Av. Carlos Cavalcanti, 1076 - Neves",143760,61,2,1,1,Neves,-25.048755945992642,-50.14105311225155
Apartamento em Chapada,"Rua do Rosario, 2906 - Chapada",207691,68,3,1,1,Chapada,-25.03728413296764,-50.168287450197134
Apartamento em Oficinas,"Rua Paula Xavier, 615 - Oficinas",153365,61,2,1,1,Oficinas,-25.11439944417102,-50.14743043005848
Apartamento em Chapada,"Av. Vicente Machado, 2195 - Chapada",245362,71,2,2,1,Chapada,-25.040987860385382,-50.17090621126449
Apartamento em Contorno,"Rua Balduino Taques, 1667 - Contorno",84102,60,3,1,1,Contorno,-25.118361135730986,-50.19866393629087
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 1321 - Santa Paula",50458,55,2,1,1,Santa Paula,-25.129317717285755,-50.17830937915179
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 2247 - Jardim Carvalho",478645,61,3,1,1,Jardim Carvalho,-25.078510048134277,-50.157820836890295
Apartamento em Jardim Sabara,"Rua Comendador Miró, 1220 - Jardim Sabara",124612,68,2,1,1,Jardim Sabara,-25.041797059634295,-50.17116675372629
Apartamento em Santa Paula,"Rua do Rosario, 2741 - Santa Paula",56959,45,1,1,0,Santa Paula,-25.12893228188513,-50.17523330537808
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 1820 - Jardim Carvalho",406731,69,2,1,1,Jardim Carvalho,-25.07395694836521,-50.155253411376115
Apartamento em Neves,"Rua Comendador Miró, 1971 - Neves",157163,68,2,1,1,Neves,-25.055723028958518,-50.14175667474055
Apartamento em Oficinas,"Rua do Rosario, 488 - Oficinas",282351,72,3,2,1,Oficinas,-25.109306407934387,-50.140573158908104
Apartamento em Contorno,"Rua do Rosario, 912 - Contorno",135950,61,3,1,1,Contorno,-25.11453263023949,-50.19913682127704
Apartamento em Santo Antonio,"Rua Paula Xavier, 235 - Santo Antonio",148862,62,2,1,1,Santo Antonio,-25.05895202505819,-50.116884101594096
Apartamento em Orfãs,"Av. Vicente Machado, 1148 - Orfãs",189193,63,2,1,1,Orfãs,-25.0692829114349,-50.16835950698508
Apartamento em Orfãs,"Rua do Rosario, 1834 - Orfãs",163152,65,3,1,1,Orfãs,-25.071925183996143,-50.1715722298238
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 806 - Uvaranas",72196,39,1,1,0,Uvaranas,-25.089798236220204,-50.125381862146206
Apartamento em Santa Paula,"Rua do Rosario, 2105 - Santa Paula",157001,58,2,1,1,Santa Paula,-25.128530463767085,-50.182452213626135
Apartamento em Oficinas,"Rua Paula Xavier, 1638 - Oficinas",248406,58,2,1,1,Oficinas,-25.115701274340033,-50.14097889733511
Apartamento em Jardim Carvalho,"Av. Carlos Cavalcanti, 1524 - Jardim Carvalho",628552,112,3,2,2,Jardim Carvalho,-25.068464846880783,-50.15674274149369
Apartamento em Jardim America,"Rua Paula Xavier, 1422 - Jardim America",119944,42,1,1,0,Jardim America,-25.11500203512514,-50.13129461874113
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2307 - Chapada",157169,60,2,1,1,Chapada,-25.042991276735744,-50.17231957640393
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 1712 - Uvaranas",75172,30,1,1,0,Uvaranas,-25.088130165944758,-50.12686854130921
Apartamento em Santo Antonio,"Rua Comendador Miró, 1746 - Santo Antonio",278609,106,3,2,2,Santo Antonio,-25.05910808500271,-50.12285194564515
Apartamento em Vila Estrela,"Rua do Rosario, 2459 - Vila Estrela",298816,67,3,1,1,Vila Estrela,-25.10780409081554,-50.15393809835253
Apartamento em Uvaranas,"Rua Paula Xavier, 1954 - Uvaranas",165122,59,3,1,1,Uvaranas,-25.084946118058944,-50.13169122907319
Apartamento em Jardim Sabara,"Rua Balduino Taques, 2429 - Jardim Sabara",127804,37,1,1,0,Jardim Sabara,-25.043485300554615,-50.17589685105374
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 2626 - Jardim America",200531,65,3,1,1,Jardim America,-25.109941971496006,-50.134009795740084
Apartamento em Boa Vista,"Rua do Rosario, 1902 - Boa Vista",143176,60,2,1,1,Boa Vista,-25.061124446774915,-50.15850122011178
Apartamento em Jardim Carvalho,"Av. Carlos Cavalcanti, 1195 - Jardim Carvalho",831111,127,4,3,2,Jardim Carvalho,-25.071844927979917,-50.15822129287109
Apartamento em Olarias,"Rua Paula Xavier, 2407 - Olarias",109405,69,2,1,1,Olarias,-25.099113842894823,-50.138215661588426
Apartamento em Contorno,"Rua Comendador Miró, 1908 - Contorno",134653,55,2,1,1,Contorno,-25.115142277444345,-50.198556184528286
Apartamento em Ronda,"Rua Balduino Taques, 640 - Ronda",133044,52,3,1,1,Ronda,-25.099675136734522,-50.190404265470534
Apartamento em Boa Vista,"Rua Comendador Miró, 2617 - Boa Vista",183028,53,2,1,1,Boa Vista,-25.06101968494865,-50.16039386450431
Apartamento em Santa Paula,"Rua Comendador Miró, 1188 - Santa Paula",77009,48,2,1,0,Santa Paula,-25.12703050872144,-50.17817346760458
Apartamento em Vila Estrela,"Rua Comendador Miró, 2651 - Vila Estrela",774402,147,4,3,2,Vila Estrela,-25.109826318244863,-50.15248628245378
Apartamento em Ronda,"Rua Paula Xavier, 2029 - Ronda",125263,42,2,1,0,Ronda,-25.097339420078793,-50.17884539054054
Apartamento em Uvaranas,"Rua Paula Xavier, 2390 - Uvaranas",264800,59,2,1,1,Uvaranas,-25.088536557686073,-50.12803572868074
Apartamento em Santa Paula,"Rua Paula Xavier, 2582 - Santa Paula",183056,52,2,1,1,Santa Paula,-25.127548701008845,-50.18530602811848
Apartamento em Santa Paula,"Rua Balduino Taques, 1538 - Santa Paula",204868,70,2,2,1,Santa Paula,-25.127573795831573,-50.178621844946626
Apartamento em Jardim Sabara,"Rua Balduino Taques, 1073 - Jardim Sabara",257117,74,2,2,1,Jardim Sabara,-25.052238561240262,-50.17232131364541
Apartamento em Estrela,"Av. Vicente Machado, 1319 - Estrela",262331,60,2,1,1,Estrela,-25.103374568060495,-50.16012039736148
Apartamento em Santo Antonio,"Av. Vicente Machado, 1473 - Santo Antonio",122556,60,2,1,1,Santo Antonio,-25.057123346327906,-50.11797470721721
Apartamento em Estrela,"Rua Paula Xavier, 1728 - Estrela",274853,62,3,1,1,Estrela,-25.1080047510316,-50.15512272427299
Apartamento em Chapada,"Rua Paula Xavier, 2179 - Chapada",281579,84,3,2,1,Chapada,-25.040091343261203,-50.1715152904656
Apartamento em Uvaranas,"Rua Comendador Miró, 760 - Uvaranas",74211,42,1,1,0,Uvaranas,-25.082242309685633,-50.134555108490446
Apartamento em Nova Russia,"Av. Vicente Machado, 2237 - Nova Russia",140874,59,2,1,1,Nova Russia,-25.078403679945843,-50.17597085702745
Apartamento em Neves,"Rua Comendador Miró, 1243 - Neves",168508,81,2,2,1,Neves,-25.051699689954265,-50.13997616756153
Apartamento em Boa Vista,"Rua Comendador Miró, 1494 - Boa Vista",156158,55,2,1,1,Boa Vista,-25.061427706449777,-50.162829850603856
Apartamento em Nova Russia,"Rua Paula Xavier, 598 - Nova Russia",48645,36,1,1,0,Nova Russia,-25.08182541754486,-50.18038773470303
Apartamento em Centro,"Rua Paula Xavier, 1537 - Centro",206017,38,2,1,0,Centro,-25.094335587621412,-50.16520553144961
Apartamento em Santa Paula,"Av. Vicente Machado, 429 - Santa Paula",172125,52,2,1,1,Santa Paula,-25.131185326451188,-50.177610531908925
Apartamento em Orfãs,"Av. Vicente Machado, 781 - Orfãs",896831,133,4,3,2,Orfãs,-25.073793286377324,-50.16740473475826
Apartamento em Olarias,"Rua do Rosario, 2189 - Olarias",122451,52,2,1,1,Olarias,-25.103035787844245,-50.13307047200284
Apartamento em Olarias,"Rua Balduino Taques, 1719 - Olarias",299978,91,3,2,1,Olarias,-25.100849906426923,-50.14523298806196
Apartamento em Santo Antonio,"Rua Balduino Taques, 547 - Santo Antonio",36876,31,1,1,0,Santo Antonio,-25.05910038078913,-50.11865276035147
Apartamento em Centro,"Rua Paula Xavier, 2840 - Centro",459565,113,3,2,2,Centro,-25.094195760166446,-50.163755402602646
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2457 - Chapada",217312,75,3,2,1,Chapada,-25.044564091088244,-50.17324825052483
Apartamento em Jardim Sabara,"Rua Paula Xavier, 715 - Jardim Sabara",46207,30,1,1,0,Jardim Sabara,-25.048332694520955,-50.17740226912684
Apartamento em Contorno,"Rua Balduino Taques, 920 - Contorno",133829,42,2,1,0,Contorno,-25.12202834953862,-50.20287584936662
Apartamento em Jardim Carvalho,"Av. Vicente Machado, 2828 - Jardim Carvalho",187365,95,3,2,1,Jardim Carvalho,-25.0692368278404,-50.149130088802835
Apartamento em Ronda,"Av. Vicente Machado, 543 - Ronda",162996,52,2,1,1,Ronda,-25.099587161602614,-50.186908671246314
Apartamento em Uvaranas,"Rua Balduino Taques, 328 - Uvaranas",110953,52,2,1,1,Uvaranas,-25.085549920347436,-50.13304612319161
Apartamento em Centro,"Av. Carlos Cavalcanti, 184 - Centro",231094,52,2,1,1,Centro,-25.09265797376682,-50.16695567856183
Apartamento em Orfãs,"Rua Comendador Miró, 2113 - Orfãs",214469,77,3,2,1,Orfãs,-25.066583896058475,-50.174495213277666
Apartamento em Oficinas,"Rua Paula Xavier, 187 - Oficinas",267517,70,2,2,1,Oficinas,-25.1187429374768,-50.14653955160687
Apartamento em Uvaranas,"Rua Balduino Taques, 405 - Uvaranas",86897,51,2,1,1,Uvaranas,-25.082332256255764,-50.126342427041244
Apartamento em Nova Russia,"Av. Vicente Machado, 2416 - Nova Russia",43225,57,2,1,1,Nova Russia,-25.08281160628138,-50.18043519312999
Apartamento em Orfãs,"Rua Paula Xavier, 129 - Orfãs",207012,42,2,1,0,Orfãs,-25.071260824402845,-50.17106988311813
Apartamento em Uvaranas,"Rua Comendador Miró, 1146 - Uvaranas",121875,60,3,1,1,Uvaranas,-25.0878908855449,-50.132181167277906
Apartamento em Chapada,"Rua do Rosario, 2994 - Chapada",164606,47,1,1,0,Chapada,-25.043952610113774,-50.17122313537035
Apartamento em Ronda,"Rua Balduino Taques, 415 - Ronda",58385,30,1,1,0,Ronda,-25.099839953857,-50.18570818180159
Apartamento em Centro,"Av. Vicente Machado, 2210 - Centro",1046496,203,6,4,4,Centro,-25.094507852597093,-50.1622602424353
Apartamento em Centro,"Rua Balduino Taques, 886 - Centro",482027,89,2,2,1,Centro,-25.090109486028897,-50.16220218320008
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 1511 - Jardim Sabara",148913,54,2,1,1,Jardim Sabara,-25.043785890488074,-50.172708331647
Apartamento em Estrela,"Rua Balduino Taques, 750 - Estrela",228393,85,2,2,1,Estrela,-25.099624842067627,-50.15700361781706
Apartamento em Chapada,"Av. Carlos Cavalcanti, 887 - Chapada",144752,54,2,1,1,Chapada,-25.036039887583545,-50.16928908687885
Apartamento em Jardim Sabara,"Rua Balduino Taques, 1297 - Jardim Sabara",137576,80,2,2,1,Jardim Sabara,-25.0455012076629,-50.17761783167184
Apartamento em Nova Russia,"Rua do Rosario, 566 - Nova Russia",139461,46,1,1,0,Nova Russia,-25.07993774459521,-50.179460571981416
Apartamento em Santa Paula,"Rua Comendador Miró, 1190 - Santa Paula",155168,47,1,1,0,Santa Paula,-25.126428595143,-50.17922397967629
Apartamento em Olarias,"Rua Balduino Taques, 1353 - Olarias",80599,43,1,1,0,Olarias,-25.09362238767916,-50.1366758615366
Apartamento em Santa Paula,"Rua Paula Xavier, 1881 - Santa Paula",67154,62,3,1,1,Santa Paula,-25.130671560357158,-50.17687434599625
Apartamento em Contorno,"Av. Carlos Cavalcanti, 935 - Contorno",38298,37,1,1,0,Contorno,-25.117668563055542,-50.19885520496979
Apartamento em Olarias,"Av. Carlos Cavalcanti, 783 - Olarias",44495,53,2,1,1,Olarias,-25.10028968430911,-50.142530675687
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 2791 - Uvaranas",116607,49,1,1,0,Uvaranas,-25.089806962746284,-50.12757172998473
Apartamento em Chapada,"Rua Comendador Miró, 2023 - Chapada",63305,38,2,1,0,Chapada,-25.041294329237044,-50.17132950023979
Apartamento em Nova Russia,"Rua do Rosario, 2707 - Nova Russia",132088,46,1,1,0,Nova Russia,-25.082112704219014,-50.17733221641058
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 1650 - Uvaranas",112876,41,2,1,0,Uvaranas,-25.08512470200808,-50.12904746072068
Apartamento em Nova Russia,"Av. Vicente Machado, 275 - Nova Russia",211588,80,2,2,1,Nova Russia,-25.078632684862665,-50.18450440156183
Apartamento em Chapada,"Rua Paula Xavier, 830 - Chapada",142508,48,1,1,0,Chapada,-25.039098802969196,-50.16872996228405
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 2980 - Jardim America",135287,50,3,1,1,Jardim America,-25.112802876287947,-50.14018342567138
Apartamento em Santa Paula,"Rua Comendador Miró, 2393 - Santa Paula",122808,49,1,1,0,Santa Paula,-25.134300191670437,-50.178458652517634
Apartamento em Boa Vista,"Rua Comendador Miró, 1649 - Boa Vista",137374,58,2,1,1,Boa Vista,-25.061188162145957,-50.15839928128563
Apartamento em Chapada,"Rua do Rosario, 1666 - Chapada",68212,40,1,1,0,Chapada,-25.035928700696328,-50.16896452952876
Apartamento em Santa Paula,"Av. Vicente Machado, 1872 - Santa Paula",45842,33,1,1,0,Santa Paula,-25.130462314339667,-50.18200191212069
Apartamento em Nova Russia,"Av. Carlos Cavalcanti, 2046 - Nova Russia",86991,57,3,1,1,Nova Russia,-25.083977779454283,-50.18052899475782
Apartamento em Ronda,"Av. Vicente Machado, 131 - Ronda",112503,63,2,1,1,Ronda,-25.101766512271467,-50.18252242678214
Apartamento em Nova Russia,"Rua Balduino Taques, 2050 - Nova Russia",75833,30,1,1,0,Nova Russia,-25.073877709106164,-50.17989082408822
Apartamento em Centro,"Av. Carlos Cavalcanti, 2486 - Centro",741825,124,3,3,2,Centro,-25.09176790899671,-50.16891764759782
Apartamento em Neves,"Rua do Rosario, 2562 - Neves",103999,61,3,1,1,Neves,-25.05281115944328,-50.138284479055976
Apartamento em Nova Russia,"Rua Comendador Miró, 2139 - Nova Russia",101628,56,2,1,1,Nova Russia,-25.081411578380045,-50.17856837764522
Apartamento em Santa Paula,"Av. Vicente Machado, 1212 - Santa Paula",46140,31,1,1,0,Santa Paula,-25.1307865030337,-50.18481415518508
Apartamento em Santa Paula,"Rua Paula Xavier, 2231 - Santa Paula",114074,52,2,1,1,Santa Paula,-25.12886595849224,-50.18284272124699
Apartamento em Neves,"Rua do Rosario, 2248 - Neves",82910,38,1,1,0,Neves,-25.050156790607065,-50.14436926005062
Apartamento em Centro,"Rua Balduino Taques, 1772 - Centro",440015,100,3,2,2,Centro,-25.094015692871338,-50.16864606098288
Apartamento em Nova Russia,"Rua Paula Xavier, 1551 - Nova Russia",140452,57,2,1,1,Nova Russia,-25.076665392502388,-50.181478180975496
Apartamento em Santo Antonio,"Rua Balduino Taques, 734 - Santo Antonio",151220,77,2,2,1,Santo Antonio,-25.064573934558116,-50.124175177952395
Apartamento em Olarias,"Rua Paula Xavier, 2902 - Olarias",98220,63,2,1,1,Olarias,-25.10053816073298,-50.14141377113316
Apartamento em Estrela,"Av. Vicente Machado, 1289 - Estrela",360505,77,2,2,1,Estrela,-25.110972950018493,-50.15069912253595
Apartamento em Jardim America,"Rua Balduino Taques, 2340 - Jardim America",107547,46,1,1,0,Jardim America,-25.109386680778275,-50.13670759413468
Apartamento em Santa Paula,"Rua Comendador Miró, 2219 - Santa Paula",116510,35,1,1,0,Santa Paula,-25.129837191549683,-50.18055265433055
Apartamento em Santa Paula,"Av. Vicente Machado, 2085 - Santa Paula",82747,48,1,1,0,Santa Paula,-25.13018828527507,-50.182445579812715
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 2430 - Oficinas",350586,74,2,2,1,Oficinas,-25.113066012255533,-50.142416460525205
Apartamento em Jardim America,"Rua Paula Xavier, 1175 - Jardim America",84552,49,1,1,0,Jardim America,-25.106328554200772,-50.140481184626616
Apartamento em Neves,"Rua do Rosario, 194 - Neves",88375,44,2,1,0,Neves,-25.045309860826464,-50.139491635618114
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 2401 - Jardim Carvalho",336353,52,2,1,1,Jardim Carvalho,-25.07110130179555,-50.150885722246564
Apartamento em Centro,"Rua Comendador Miró, 1407 - Centro",926646,125,3,3,2,Centro,-25.092418151819086,-50.16709371039225
Apartamento em Jardim America,"Rua Paula Xavier, 1473 - Jardim America",158516,47,2,1,0,Jardim America,-25.112305338137716,-50.1326565316856
Apartamento em Vila Estrela,"Rua Comendador Miró, 1010 - Vila Estrela",238754,50,2,1,1,Vila Estrela,-25.10722695582041,-50.147161893059135
Apartamento em Ronda,"Rua Paula Xavier, 2437 - Ronda",131057,63,2,1,1,Ronda,-25.09577907935974,-50.18396358180439
Apartamento em Uvaranas,"Rua Balduino Taques, 1258 - Uvaranas",137937,39,1,1,0,Uvaranas,-25.087470150815797,-50.129945520272564
Apartamento em Nova Russia,"Rua Balduino Taques, 2215 - Nova Russia",114794,52,2,1,1,Nova Russia,-25.08493600595345,-50.18635182766293
Apartamento em Neves,"Rua Comendador Miró, 1740 - Neves",89918,65,3,1,1,Neves,-25.049981820921374,-50.142390235367465
Apartamento em Jardim Sabara,"Rua Paula Xavier, 93 - Jardim Sabara",97961,51,2,1,1,Jardim Sabara,-25.045799738931986,-50.172533274947426
Apartamento em Santa Paula,"Rua Paula Xavier, 1557 - Santa Paula",91952,43,1,1,0,Santa Paula,-25.12509468085123,-50.182796380202234
Apartamento em Jardim America,"Rua Balduino Taques, 2010 - Jardim America",127212,51,2,1,1,Jardim America,-25.113131707945062,-50.134035313660306
Apartamento em Nova Russia,"Av. Vicente Machado, 1386 - Nova Russia",94708,43,1,1,0,Nova Russia,-25.081432041608124,-50.17575579566277
Apartamento em Santa Paula,"Rua Comendador Miró, 1400 - Santa Paula",245250,89,2,2,1,Santa Paula,-25.133453898717278,-50.17940451191232
Apartamento em Estrela,"Rua Paula Xavier, 1795 - Estrela",323949,89,2,2,1,Estrela,-25.10219050715297,-50.158536198532715
Apartamento em Orfãs,"Rua Balduino Taques, 2204 - Orfãs",145574,69,2,1,1,Orfãs,-25.066579079560505,-50.1732731999645
Apartamento em Orfãs,"Rua Balduino Taques, 1227 - Orfãs",100910,42,1,1,0,Orfãs,-25.07027777949086,-50.169099879774436
Apartamento em Jardim America,"Rua do Rosario, 386 - Jardim America",148863,78,2,2,1,Jardim America,-25.112491520567513,-50.1330993552267
Apartamento em Nova Russia,"Rua Paula Xavier, 285 - Nova Russia",189080,58,2,1,1,Nova Russia,-25.081995058865903,-50.1800146824413
Apartamento em Jardim Sabara,"Av. Vicente Machado, 1432 - Jardim Sabara",64965,51,2,1,1,Jardim Sabara,-25.045821839198,-50.17526782356173
Apartamento em Uvaranas,"Rua Paula Xavier, 2077 - Uvaranas",156257,57,2,1,1,Uvaranas,-25.082222662152123,-50.13227576310734
Apartamento em Contorno,"Rua do Rosario, 1293 - Contorno",42023,41,1,1,0,Contorno,-25.122711184946915,-50.202048449202316
Apartamento em Orfãs,"Rua Paula Xavier, 2569 - Orfãs",268001,78,2,2,1,Orfãs,-25.069789955662966,-50.165575682016566
Apartamento em Jardim Sabara,"Rua do Rosario, 749 - Jardim Sabara",38641,52,2,1,1,Jardim Sabara,-25.044656690634362,-50.17605805015109
Apartamento em Centro,"Rua do Rosario, 774 - Centro",657036,126,3,3,2,Centro,-25.08984377964984,-50.16600943475859
Apartamento em Santa Paula,"Rua Comendador Miró, 1924 - Santa Paula",198528,65,2,1,1,Santa Paula,-25.130439414819843,-50.180682028146265
Apartamento em Boa Vista,"Rua do Rosario, 2526 - Boa Vista",55801,30,1,1,0,Boa Vista,-25.061247690157412,-50.16032558817854
Apartamento em Vila Estrela,"Rua Comendador Miró, 2577 - Vila Estrela",590996,134,3,3,2,Vila Estrela,-25.1080579332662,-50.150119342952244
Apartamento em Oficinas,"Rua Paula Xavier, 1904 - Oficinas",401263,82,2,2,1,Oficinas,-25.1114174364611,-50.14208724941201
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 2817 - Jardim Carvalho",586977,104,3,2,2,Jardim Carvalho,-25.07547610362618,-50.15535767155905
Apartamento em Contorno,"Av. Carlos Cavalcanti, 1315 - Contorno",106865,52,2,1,1,Contorno,-25.121444380065125,-50.2041551085455
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 1103 - Uvaranas",157245,41,1,1,0,Uvaranas,-25.082626798264485,-50.13436187159999
Apartamento em Contorno,"Rua Paula Xavier, 2823 - Contorno",185799,49,1,1,0,Contorno,-25.119611394361012,-50.20237177184497
Apartamento em Ronda,"Rua Balduino Taques, 624 - Ronda",124612,35,1,1,0,Ronda,-25.103112455182277,-50.18702757665949
Apartamento em Orfãs,"Rua Paula Xavier, 1911 - Orfãs",216552,53,3,1,1,Orfãs,-25.066280096323514,-50.171531331599404
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 1738 - Santa Paula",79331,58,2,1,1,Santa Paula,-25.12985585421449,-50.18077931933822
Apartamento em Oficinas,"Rua Paula Xavier, 568 - Oficinas",229983,51,2,1,1,Oficinas,-25.113749645531477,-50.147567859386086
Apartamento em Centro,"Rua Paula Xavier, 2707 - Centro",236626,86,2,2,1,Centro,-25.09324163587646,-50.163678376545874
Apartamento em Olarias,"Rua Balduino Taques, 2969 - Olarias",155523,64,3,1,1,Olarias,-25.101029829796833,-50.14389505027829
Apartamento em Santa Paula,"Rua Balduino Taques, 353 - Santa Paula",172762,53,2,1,1,Santa Paula,-25.131425921466725,-50.17701084967977
Apartamento em Neves,"Rua Balduino Taques, 1677 - Neves",231095,58,2,1,1,Neves,-25.051886806377656,-50.13592893375703
Apartamento em Chapada,"Rua Balduino Taques, 1635 - Chapada",73354,33,1,1,0,Chapada,-25.04221717095199,-50.17033557210761
Apartamento em Jardim Carvalho,"Rua do Rosario, 2059 - Jardim Carvalho",359268,78,2,2,1,Jardim Carvalho,-25.08091283036517,-50.15981816464006
Apartamento em Nova Russia,"Rua do Rosario, 2161 - Nova Russia",202631,62,2,1,1,Nova Russia,-25.075075993047218,-50.18466866367251
Apartamento em Boa Vista,"Rua Balduino Taques, 985 - Boa Vista",88720,57,2,1,1,Boa Vista,-25.061294212930015,-50.157214232033276
Apartamento em Nova Russia,"Rua Paula Xavier, 1358 - Nova Russia",261201,86,2,2,1,Nova Russia,-25.077833660396095,-50.17887108687376
Apartamento em Jardim America,"Rua Comendador Miró, 976 - Jardim America",218280,68,2,1,1,Jardim America,-25.11065760148836,-50.13351097344798
Apartamento em Vila Estrela,"Rua Balduino Taques, 727 - Vila Estrela",534463,105,3,2,2,Vila Estrela,-25.106879191811068,-50.153016574747156
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 1682 - Orfãs",208978,44,1,1,0,Orfãs,-25.0742184987605,-50.164556139229
Apartamento em Boa Vista,"Rua Balduino Taques, 2018 - Boa Vista",95479,43,1,1,0,Boa Vista,-25.061105759790316,-50.158024697956996
Apartamento em Olarias,"Rua Balduino Taques, 1306 - Olarias",218659,78,2,2,1,Olarias,-25.099488007087828,-50.142304140987186
