titulo,endereco,preco,area,quartos,banheiros,vagas,bairro
Apartamento em Contorno,"Av. Carlos Cavalcanti, 1215 - Contorno",158209,47,1,1,0,Contorno
Apartamento em Oficinas,"Av. Vicente Machado, 1908 - Oficinas",337230,99,3,2,1,Oficinas
Apartamento em Santo Antonio,"Rua do Rosario, 473 - Santo Antonio",51459,35,2,1,0,Santo Antonio
Apartamento em Estrela,"Rua Comendador Miró, 2248 - Estrela",265392,91,3,2,1,Estrela
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 1856 - Jardim Carvalho",81629,30,1,1,0,Jardim Carvalho
Apartamento em Centro,"Rua do Rosario, 2928 - Centro",484205,112,4,2,2,Centro
Apartamento em Orfãs,"Rua Balduino Taques, 1034 - Orfãs",272615,58,2,1,1,Orfãs
Apartamento em Neves,"Rua Comendador Miró, 681 - Neves",167156,77,2,2,1,Neves
Apartamento em Nova Russia,"Rua Comendador Miró, 1850 - Nova Russia",48201,48,2,1,0,Nova Russia
Apartamento em Chapada,"Rua Comendador Miró, 1583 - Chapada",164445,62,3,1,1,Chapada
Apartamento em Jardim Sabara,"Av. Vicente Machado, 1561 - Jardim Sabara",115068,55,2,1,1,Jardim Sabara
Apartamento em Olarias,"Av. Vicente Machado, 1382 - Olarias",22410,44,1,1,0,Olarias
Apartamento em Jardim Carvalho,"Av. Vicente Machado, 742 - Jardim Carvalho",340815,60,3,1,1,Jardim Carvalho
Apartamento em Oficinas,"Rua Paula Xavier, 3000 - Oficinas",270482,76,2,2,1,Oficinas
Apartamento em Santo Antonio,"Av. Vicente Machado, 491 - Santo Antonio",126879,57,2,1,1,Santo Antonio
Apartamento em Jardim Carvalho,"Rua Balduino Taques, 2560 - Jardim Carvalho",291583,82,2,2,1,Jardim Carvalho
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 2052 - Boa Vista",170325,57,3,1,1,Boa Vista
Apartamento em Olarias,"Rua do Rosario, 2031 - Olarias",117784,58,2,1,1,Olarias
Apartamento em Ronda,"Rua Comendador Miró, 1958 - Ronda",92150,30,1,1,0,Ronda
Apartamento em Santo Antonio,"Rua Balduino Taques, 2472 - Santo Antonio",167935,49,1,1,0,Santo Antonio
Apartamento em Centro,"Rua do Rosario, 1149 - Centro",817544,145,3,3,2,Centro
Apartamento em Olarias,"Av. Vicente Machado, 210 - Olarias",61717,44,1,1,0,Olarias
Apartamento em Estrela,"Rua Comendador Miró, 1439 - Estrela",166995,52,3,1,1,Estrela
Apartamento em Oficinas,"Rua Balduino Taques, 2742 - Oficinas",266981,51,3,1,1,Oficinas
Apartamento em Contorno,"Rua Balduino Taques, 210 - Contorno",119222,58,2,1,1,Contorno
Apartamento em Nova Russia,"Av. Vicente Machado, 670 - Nova Russia",73837,48,1,1,0,Nova Russia
Apartamento em Contorno,"Rua Comendador Miró, 2876 - Contorno",134944,49,1,1,0,Contorno
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2381 - Olarias",111563,46,2,1,0,Olarias
Apartamento em Chapada,"Rua Balduino Taques, 1235 - Chapada",77305,60,2,1,1,Chapada
Apartamento em Neves,"Av. Carlos Cavalcanti, 287 - Neves",210813,54,2,1,1,Neves
Apartamento em Vila Estrela,"Rua Balduino Taques, 1209 - Vila Estrela",629871,118,3,2,2,Vila Estrela
Apartamento em Santa Paula,"Rua Comendador Miró, 1134 - Santa Paula",133608,90,4,2,1,Santa Paula
Apartamento em Neves,"Rua do Rosario, 869 - Neves",236905,89,2,2,1,Neves
Apartamento em Orfãs,"Rua Balduino Taques, 2350 - Orfãs",318201,115,3,2,2,Orfãs
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 2975 - Jardim Sabara",199687,64,2,1,1,Jardim Sabara
Apartamento em Contorno,"Rua Paula Xavier, 1073 - Contorno",134360,50,2,1,1,Contorno
Apartamento em Jardim Sabara,"Rua do Rosario, 1459 - Jardim Sabara",193783,56,2,1,1,Jardim Sabara
Apartamento em Jardim Carvalho,"Av. Carlos Cavalcanti, 2138 - Jardim Carvalho",116815,57,2,1,1,Jardim Carvalho
Apartamento em Santa Paula,"Av. Vicente Machado, 2506 - Santa Paula",138728,59,2,1,1,Santa Paula
Apartamento em Ronda,"Av. Vicente Machado, 16 - Ronda",191468,78,2,2,1,Ronda
Apartamento em Nova Russia,"Rua Comendador Miró, 493 - Nova Russia",53529,57,3,1,1,Nova Russia
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 1705 - Orfãs",139607,83,2,2,1,Orfãs
Apartamento em Oficinas,"Rua do Rosario, 2621 - Oficinas",255415,75,2,2,1,Oficinas
Apartamento em Orfãs,"Av. Vicente Machado, 2836 - Orfãs",255703,97,4,2,1,Orfãs
Apartamento em Contorno,"Rua Balduino Taques, 1270 - Contorno",216669,65,2,1,1,Contorno
Apartamento em Contorno,"Rua Paula Xavier, 35 - Contorno",153368,64,2,1,1,Contorno
Apartamento em Nova Russia,"Rua Paula Xavier, 1632 - Nova Russia",135414,70,2,2,1,Nova Russia
Apartamento em Centro,"Av. Vicente Machado, 1363 - Centro",1031442,138,3,3,2,Centro
Apartamento em Neves,"Av. Carlos Cavalcanti, 1953 - Neves",114979,60,2,1,1,Neves
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 646 - Oficinas",174341,79,2,2,1,Oficinas
Apartamento em Santo Antonio,"Rua do Rosario, 1382 - Santo Antonio",88674,31,1,1,0,Santo Antonio
Apartamento em Santo Antonio,"Av. Carlos Cavalcanti, 239 - Santo Antonio",78528,50,2,1,1,Santo Antonio
Apartamento em Jardim Sabara,"Rua Comendador Miró, 2787 - Jardim Sabara",83594,37,1,1,0,Jardim Sabara
Apartamento em Neves,"Rua Balduino Taques, 863 - Neves",163048,58,2,1,1,Neves
Apartamento em Neves,"Rua Paula Xavier, 281 - Neves",100817,43,1,1,0,Neves
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 1546 - Jardim Carvalho",1143712,174,5,3,2,Jardim Carvalho
Apartamento em Olarias,"Rua do Rosario, 2490 - Olarias",95091,45,1,1,0,Olarias
Apartamento em Jardim America,"Rua Balduino Taques, 1272 - Jardim America",141755,49,2,1,0,Jardim America
Apartamento em Neves,"Rua Paula Xavier, 1705 - Neves",162416,68,2,1,1,Neves
Apartamento em Uvaranas,"Av. Vicente Machado, 1532 - Uvaranas",78773,81,2,2,1,Uvaranas
Apartamento em Santo Antonio,"Rua Paula Xavier, 895 - Santo Antonio",122790,48,1,1,0,Santo Antonio
Apartamento em Jardim Sabara,"Rua Balduino Taques, 1542 - Jardim Sabara",128716,53,2,1,1,Jardim Sabara
Apartamento em Oficinas,"Rua Balduino Taques, 1827 - Oficinas",183955,104,3,2,2,Oficinas
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 2058 - Jardim Sabara",157049,62,3,1,1,Jardim Sabara
Apartamento em Jardim Carvalho,"Av. Carlos Cavalcanti, 2154 - Jardim Carvalho",379212,59,3,1,1,Jardim Carvalho
Apartamento em Contorno,"Av. Vicente Machado, 412 - Contorno",143938,50,2,1,1,Contorno
Apartamento em Jardim Sabara,"Av. Vicente Machado, 850 - Jardim Sabara",95322,30,1,1,0,Jardim Sabara
Apartamento em Oficinas,"Rua Comendador Miró, 2149 - Oficinas",187049,55,2,1,1,Oficinas
Apartamento em Nova Russia,"Rua Balduino Taques, 2824 - Nova Russia",176440,62,3,1,1,Nova Russia
Apartamento em Uvaranas,"Rua Balduino Taques, 432 - Uvaranas",85091,44,1,1,0,Uvaranas
Apartamento em Jardim Sabara,"Rua Comendador Miró, 1289 - Jardim Sabara",98870,41,1,1,0,Jardim Sabara
Apartamento em Centro,"Rua Paula Xavier, 2626 - Centro",482249,77,2,2,1,Centro
Apartamento em Orfãs,"Av. Vicente Machado, 1183 - Orfãs",34987,59,2,1,1,Orfãs
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 2758 - Boa Vista",55082,33,1,1,0,Boa Vista
Apartamento em Nova Russia,"Av. Vicente Machado, 1130 - Nova Russia",84563,56,2,1,1,Nova Russia
Apartamento em Nova Russia,"Rua do Rosario, 2302 - Nova Russia",210211,59,3,1,1,Nova Russia
Apartamento em Jardim Sabara,"Rua do Rosario, 1444 - Jardim Sabara",124917,62,3,1,1,Jardim Sabara
Apartamento em Olarias,"Av. Vicente Machado, 2895 - Olarias",93840,44,1,1,0,Olarias
Apartamento em Contorno,"Av. Vicente Machado, 301 - Contorno",50448,32,1,1,0,Contorno
Apartamento em Contorno,"Rua Paula Xavier, 2224 - Contorno",124719,57,2,1,1,Contorno
Apartamento em Santo Antonio,"Rua Balduino Taques, 1938 - Santo Antonio",116289,48,2,1,0,Santo Antonio
Apartamento em Oficinas,"Rua Balduino Taques, 362 - Oficinas",204340,80,3,2,1,Oficinas
Apartamento em Vila Estrela,"Rua Comendador Miró, 2451 - Vila Estrela",368964,122,3,3,2,Vila Estrela
Apartamento em Santo Antonio,"Rua Paula Xavier, 1371 - Santo Antonio",73023,43,1,1,0,Santo Antonio
Apartamento em Orfãs,"Rua Comendador Miró, 2195 - Orfãs",115893,57,2,1,1,Orfãs
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 2335 - Uvaranas",206655,63,2,1,1,Uvaranas
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 1928 - Jardim Carvalho",711439,110,4,2,2,Jardim Carvalho
Apartamento em Nova Russia,"Rua Comendador Miró, 2649 - Nova Russia",79236,49,1,1,0,Nova Russia
Apartamento em Santo Antonio,"Av. Vicente Machado, 598 - Santo Antonio",151943,81,2,2,1,Santo Antonio
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 761 - Boa Vista",109522,71,2,2,1,Boa Vista
Apartamento em Neves,"Rua Paula Xavier, 1866 - Neves",302150,94,3,2,1,Neves
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 472 - Santa Paula",145540,67,3,1,1,Santa Paula
Apartamento em Chapada,"Av. Vicente Machado, 1166 - Chapada",194639,45,1,1,0,Chapada
Apartamento em Chapada,"Av. Vicente Machado, 2090 - Chapada",39431,31,1,1,0,Chapada
Apartamento em Nova Russia,"Rua Comendador Miró, 448 - Nova Russia",95175,31,1,1,0,Nova Russia
Apartamento em Neves,"Rua Balduino Taques, 1247 - Neves",136532,62,2,1,1,Neves
Apartamento em Olarias,"Rua do Rosario, 1703 - Olarias",164184,62,2,1,1,Olarias
Apartamento em Ronda,"Rua do Rosario, 661 - Ronda",214226,80,2,2,1,Ronda
Apartamento em Santa Paula,"Rua Paula Xavier, 862 - Santa Paula",76478,44,1,1,0,Santa Paula
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 2333 - Vila Estrela",480126,125,3,3,2,Vila Estrela
Apartamento em Neves,"Av. Vicente Machado, 718 - Neves",199659,62,2,1,1,Neves
Apartamento em Uvaranas,"Rua Comendador Miró, 2361 - Uvaranas",130978,38,1,1,0,Uvaranas
Apartamento em Santa Paula,"Rua do Rosario, 1906 - Santa Paula",329705,86,3,2,1,Santa Paula
Apartamento em Neves,"Av. Carlos Cavalcanti, 731 - Neves",287230,93,3,2,1,Neves
Apartamento em Contorno,"Rua Balduino Taques, 2460 - Contorno",54036,46,1,1,0,Contorno
Apartamento em Nova Russia,"Rua do Rosario, 1562 - Nova Russia",128087,67,2,1,1,Nova Russia
Apartamento em Neves,"Rua Comendador Miró, 261 - Neves",112872,68,2,1,1,Neves
Apartamento em Uvaranas,"Av. Vicente Machado, 2388 - Uvaranas",240960,67,2,1,1,Uvaranas
Apartamento em Centro,"Rua Comendador Miró, 621 - Centro",325537,60,2,1,1,Centro
Apartamento em Santo Antonio,"Av. Carlos Cavalcanti, 2531 - Santo Antonio",143979,79,2,2,1,Santo Antonio
Apartamento em Santo Antonio,"Rua Comendador Miró, 1306 - Santo Antonio",165544,53,3,1,1,Santo Antonio
Apartamento em Contorno,"Rua Comendador Miró, 1257 - Contorno",64970,30,1,1,0,Contorno
Apartamento em Vila Estrela,"Rua Paula Xavier, 375 - Vila Estrela",654988,193,6,3,2,Vila Estrela
Apartamento em Centro,"Rua do Rosario, 1665 - Centro",298693,97,3,2,1,Centro
Apartamento em Jardim Carvalho,"Rua Balduino Taques, 1522 - Jardim Carvalho",351602,54,2,1,1,Jardim Carvalho
Apartamento em Olarias,"Rua Balduino Taques, 2890 - Olarias",190639,72,2,2,1,Olarias
Apartamento em Olarias,"Rua Paula Xavier, 459 - Olarias",323789,129,3,3,2,Olarias
Apartamento em Contorno,"Av. Vicente Machado, 1778 - Contorno",87384,75,2,2,1,Contorno
Apartamento em Jardim America,"Rua Comendador Miró, 1577 - Jardim America",160599,68,2,1,1,Jardim America
Apartamento em Jardim America,"Rua do Rosario, 875 - Jardim America",122680,43,1,1,0,Jardim America
Apartamento em Estrela,"Av. Vicente Machado, 2285 - Estrela",141701,38,1,1,0,Estrela
Apartamento em Jardim America,"Rua Paula Xavier, 1718 - Jardim America",175973,59,2,1,1,Jardim America
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 524 - Jardim Carvalho",816244,137,3,3,2,Jardim Carvalho
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 74 - Jardim Carvalho",527385,95,4,2,1,Jardim Carvalho
Apartamento em Jardim Carvalho,"Av. Carlos Cavalcanti, 2704 - Jardim Carvalho",246452,67,2,1,1,Jardim Carvalho
Apartamento em Vila Estrela,"Rua Comendador Miró, 1713 - Vila Estrela",1078036,159,5,3,2,Vila Estrela
Apartamento em Santo Antonio,"Rua Comendador Miró, 2485 - Santo Antonio",127023,55,2,1,1,Santo Antonio
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 2096 - Vila Estrela",520960,143,3,3,2,Vila Estrela
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 1465 - Vila Estrela",1169634,195,6,3,2,Vila Estrela
Apartamento em Ronda,"Rua do Rosario, 40 - Ronda",86272,48,2,1,0,Ronda
Apartamento em Santa Paula,"Av. Vicente Machado, 2926 - Santa Paula",177220,66,2,1,1,Santa Paula
Apartamento em Jardim Sabara,"Rua do Rosario, 2370 - Jardim Sabara",97753,42,1,1,0,Jardim Sabara
Apartamento em Chapada,"Rua Balduino Taques, 2337 - Chapada",214743,67,3,1,1,Chapada
Apartamento em Santa Paula,"Rua Balduino Taques, 2386 - Santa Paula",143125,81,2,2,1,Santa Paula
Apartamento em Santa Paula,"Rua Balduino Taques, 591 - Santa Paula",192424,56,2,1,1,Santa Paula
Apartamento em Jardim Sabara,"Rua Paula Xavier, 1914 - Jardim Sabara",164075,64,2,1,1,Jardim Sabara
Apartamento em Jardim Sabara,"Rua do Rosario, 372 - Jardim Sabara",99585,55,3,1,1,Jardim Sabara
Apartamento em Ronda,"Rua Comendador Miró, 2728 - Ronda",55244,71,2,2,1,Ronda
Apartamento em Uvaranas,"Rua do Rosario, 2384 - Uvaranas",106318,85,2,2,1,Uvaranas
Apartamento em Contorno,"Rua Paula Xavier, 2201 - Contorno",114031,51,2,1,1,Contorno
Apartamento em Centro,"Rua do Rosario, 1931 - Centro",324671,80,2,2,1,Centro
Apartamento em Neves,"Rua Paula Xavier, 1194 - Neves",109044,30,1,1,0,Neves
Apartamento em Estrela,"Rua do Rosario, 1255 - Estrela",348718,73,3,2,1,Estrela
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 2378 - Boa Vista",59840,39,2,1,0,Boa Vista
Apartamento em Estrela,"Rua Comendador Miró, 1205 - Estrela",258819,50,2,1,1,Estrela
Apartamento em Centro,"Rua Balduino Taques, 529 - Centro",461066,141,3,3,2,Centro
Apartamento em Jardim Sabara,"Rua Paula Xavier, 1042 - Jardim Sabara",113604,41,2,1,0,Jardim Sabara
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 1062 - Jardim Carvalho",314171,59,2,1,1,Jardim Carvalho
Apartamento em Centro,"Rua do Rosario, 725 - Centro",911218,137,3,3,2,Centro
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 728 - Jardim Carvalho",602992,104,3,2,2,Jardim Carvalho
Apartamento em Boa Vista,"Av. Vicente Machado, 1996 - Boa Vista",211083,54,2,1,1,Boa Vista
Apartamento em Estrela,"Rua Balduino Taques, 1414 - Estrela",176177,76,2,2,1,Estrela
Apartamento em Uvaranas,"Rua do Rosario, 641 - Uvaranas",166753,40,1,1,0,Uvaranas
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 1579 - Santa Paula",134860,61,2,1,1,Santa Paula
Apartamento em Ronda,"Rua Comendador Miró, 2621 - Ronda",98275,40,1,1,0,Ronda
Apartamento em Estrela,"Rua Comendador Miró, 1423 - Estrela",614707,133,3,3,2,Estrela
Apartamento em Oficinas,"Rua Balduino Taques, 225 - Oficinas",184806,50,2,1,1,Oficinas
Apartamento em Estrela,"Av. Carlos Cavalcanti, 1244 - Estrela",140474,72,2,2,1,Estrela
Apartamento em Santa Paula,"Rua do Rosario, 967 - Santa Paula",209752,62,2,1,1,Santa Paula
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 1953 - Jardim America",112413,45,1,1,0,Jardim America
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 58 - Boa Vista",113838,70,3,2,1,Boa Vista
Apartamento em Contorno,"Av. Carlos Cavalcanti, 1574 - Contorno",109854,34,1,1,0,Contorno
Apartamento em Neves,"Rua Comendador Miró, 178 - Neves",241399,64,2,1,1,Neves
Apartamento em Nova Russia,"Rua Comendador Miró, 1459 - Nova Russia",130308,36,1,1,0,Nova Russia
Apartamento em Vila Estrela,"Rua Comendador Miró, 1126 - Vila Estrela",247906,84,2,2,1,Vila Estrela
Apartamento em Neves,"Rua Balduino Taques, 1055 - Neves",269907,93,3,2,1,Neves
Apartamento em Jardim America,"Rua Comendador Miró, 1000 - Jardim America",153243,50,2,1,1,Jardim America
Apartamento em Orfãs,"Rua Comendador Miró, 2837 - Orfãs",237468,96,3,2,1,Orfãs
Apartamento em Estrela,"Rua Balduino Taques, 2765 - Estrela",273811,108,3,2,2,Estrela
Apartamento em Centro,"Rua Balduino Taques, 2161 - Centro",777481,170,5,3,2,Centro
Apartamento em Nova Russia,"Rua Paula Xavier, 908 - Nova Russia",158243,52,2,1,1,Nova Russia
Apartamento em Contorno,"Rua Balduino Taques, 107 - Contorno",102139,49,1,1,0,Contorno
Apartamento em Uvaranas,"Rua do Rosario, 2699 - Uvaranas",156345,55,3,1,1,Uvaranas
Apartamento em Orfãs,"Rua Comendador Miró, 508 - Orfãs",183089,63,2,1,1,Orfãs
Apartamento em Nova Russia,"Rua do Rosario, 542 - Nova Russia",76885,30,2,1,0,Nova Russia
Apartamento em Jardim America,"Rua Comendador Miró, 2328 - Jardim America",114661,40,1,1,0,Jardim America
Apartamento em Estrela,"Rua Comendador Miró, 764 - Estrela",93866,40,1,1,0,Estrela
Apartamento em Boa Vista,"Rua Comendador Miró, 320 - Boa Vista",38335,36,1,1,0,Boa Vista
Apartamento em Santo Antonio,"Rua Paula Xavier, 1758 - Santo Antonio",189412,98,3,2,1,Santo Antonio
Apartamento em Neves,"Rua Balduino Taques, 1145 - Neves",118519,57,2,1,1,Neves
Apartamento em Oficinas,"Rua Paula Xavier, 256 - Oficinas",269133,69,2,1,1,Oficinas
Apartamento em Boa Vista,"Rua Paula Xavier, 738 - Boa Vista",92645,38,1,1,0,Boa Vista
Apartamento em Santo Antonio,"Av. Vicente Machado, 2509 - Santo Antonio",340449,93,4,2,1,Santo Antonio
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 454 - Jardim America",46154,40,2,1,0,Jardim America
Apartamento em Jardim Carvalho,"Av. Carlos Cavalcanti, 904 - Jardim Carvalho",279397,61,2,1,1,Jardim Carvalho
Apartamento em Nova Russia,"Rua Comendador Miró, 1070 - Nova Russia",124905,43,1,1,0,Nova Russia
Apartamento em Nova Russia,"Rua Balduino Taques, 2350 - Nova Russia",330099,78,3,2,1,Nova Russia
Apartamento em Boa Vista,"Rua Balduino Taques, 2048 - Boa Vista",197584,74,2,2,1,Boa Vista
Apartamento em Jardim Carvalho,"Rua Balduino Taques, 164 - Jardim Carvalho",472778,71,2,2,1,Jardim Carvalho
Apartamento em Jardim America,"Rua Comendador Miró, 1360 - Jardim America",101586,55,2,1,1,Jardim America
Apartamento em Jardim America,"Rua do Rosario, 2908 - Jardim America",178601,56,2,1,1,Jardim America
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 2990 - Santa Paula",52012,42,1,1,0,Santa Paula
Apartamento em Uvaranas,"Rua Balduino Taques, 1584 - Uvaranas",129363,53,2,1,1,Uvaranas
Apartamento em Santa Paula,"Rua do Rosario, 1480 - Santa Paula",146809,36,2,1,0,Santa Paula
Apartamento em Neves,"Av. Carlos Cavalcanti, 236 - Neves",246880,85,2,2,1,Neves
Apartamento em Uvaranas,"Rua Paula Xavier, 339 - Uvaranas",207223,48,1,1,0,Uvaranas
Apartamento em Santo Antonio,"Rua Paula Xavier, 2663 - Santo Antonio",185161,64,2,1,1,Santo Antonio
Apartamento em Orfãs,"Rua Balduino Taques, 1583 - Orfãs",236510,64,3,1,1,Orfãs
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 447 - Orfãs",122015,31,1,1,0,Orfãs
Apartamento em Chapada,"Rua Comendador Miró, 1803 - Chapada",170556,56,2,1,1,Chapada
Apartamento em Orfãs,"Av. Vicente Machado, 113 - Orfãs",403135,123,4,3,2,Orfãs
Apartamento em Ronda,"Rua Balduino Taques, 2224 - Ronda",94082,48,1,1,0,Ronda
Apartamento em Contorno,"Av. Carlos Cavalcanti, 77 - Contorno",171916,42,1,1,0,Contorno
Apartamento em Oficinas,"Rua Paula Xavier, 2963 - Oficinas",185842,63,2,1,1,Oficinas
Apartamento em Oficinas,"Av. Vicente Machado, 2688 - Oficinas",303851,70,2,2,1,Oficinas
Apartamento em Jardim Sabara,"Rua Comendador Miró, 2207 - Jardim Sabara",67431,46,1,1,0,Jardim Sabara
Apartamento em Jardim Carvalho,"Av. Vicente Machado, 305 - Jardim Carvalho",355740,87,2,2,1,Jardim Carvalho
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 2688 - Oficinas",294438,75,2,2,1,Oficinas
Apartamento em Centro,"Rua do Rosario, 197 - Centro",320029,137,3,3,2,Centro
Apartamento em Ronda,"Av. Vicente Machado, 68 - Ronda",221568,82,2,2,1,Ronda
Apartamento em Estrela,"Rua Paula Xavier, 408 - Estrela",362866,92,3,2,1,Estrela
Apartamento em Santo Antonio,"Rua do Rosario, 271 - Santo Antonio",232732,81,2,2,1,Santo Antonio
Apartamento em Nova Russia,"Rua do Rosario, 2531 - Nova Russia",154643,53,3,1,1,Nova Russia
Apartamento em Ronda,"Av. Vicente Machado, 1755 - Ronda",306574,71,3,2,1,Ronda
Apartamento em Neves,"Rua Comendador Miró, 2788 - Neves",109482,37,1,1,0,Neves
Apartamento em Jardim America,"Rua Comendador Miró, 2369 - Jardim America",86691,59,2,1,1,Jardim America
Apartamento em Olarias,"Av. Vicente Machado, 196 - Olarias",117738,45,2,1,0,Olarias
Apartamento em Estrela,"Rua Balduino Taques, 1131 - Estrela",389585,107,3,2,2,Estrela
Apartamento em Jardim Carvalho,"Av. Vicente Machado, 2862 - Jardim Carvalho",344456,57,2,1,1,Jardim Carvalho
Apartamento em Chapada,"Av. Carlos Cavalcanti, 1007 - Chapada",101253,42,1,1,0,Chapada
Apartamento em Oficinas,"Rua Comendador Miró, 2518 - Oficinas",180513,58,3,1,1,Oficinas
Apartamento em Jardim America,"Rua Balduino Taques, 2004 - Jardim America",78361,37,1,1,0,Jardim America
Apartamento em Uvaranas,"Av. Vicente Machado, 375 - Uvaranas",110302,46,2,1,0,Uvaranas
Apartamento em Contorno,"Av. Carlos Cavalcanti, 2845 - Contorno",15800,101,3,2,2,Contorno
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 1119 - Jardim Carvalho",510752,77,2,2,1,Jardim Carvalho
Apartamento em Jardim Sabara,"Av. Vicente Machado, 724 - Jardim Sabara",95572,38,1,1,0,Jardim Sabara
Apartamento em Oficinas,"Rua Comendador Miró, 2057 - Oficinas",607899,117,3,2,2,Oficinas
Apartamento em Uvaranas,"Rua Paula Xavier, 1434 - Uvaranas",194276,74,2,2,1,Uvaranas
Apartamento em Vila Estrela,"Av. Vicente Machado, 796 - Vila Estrela",273672,52,3,1,1,Vila Estrela
Apartamento em Nova Russia,"Rua Balduino Taques, 2545 - Nova Russia",121550,56,2,1,1,Nova Russia
Apartamento em Chapada,"Rua do Rosario, 2088 - Chapada",108954,51,2,1,1,Chapada
Apartamento em Ronda,"Rua Comendador Miró, 2710 - Ronda",128624,53,2,1,1,Ronda
Apartamento em Orfãs,"Av. Vicente Machado, 471 - Orfãs",170508,48,1,1,0,Orfãs
Apartamento em Jardim Carvalho,"Av. Carlos Cavalcanti, 2047 - Jardim Carvalho",207997,53,2,1,1,Jardim Carvalho
Apartamento em Estrela,"Rua Balduino Taques, 231 - Estrela",156723,35,2,1,0,Estrela
Apartamento em Chapada,"Av. Carlos Cavalcanti, 1039 - Chapada",280675,82,2,2,1,Chapada
Apartamento em Neves,"Av. Carlos Cavalcanti, 187 - Neves",67747,30,1,1,0,Neves
Apartamento em Nova Russia,"Rua do Rosario, 730 - Nova Russia",117180,53,2,1,1,Nova Russia
Apartamento em Estrela,"Av. Carlos Cavalcanti, 2119 - Estrela",141895,57,2,1,1,Estrela
Apartamento em Nova Russia,"Av. Vicente Machado, 2964 - Nova Russia",245794,66,3,1,1,Nova Russia
Apartamento em Santo Antonio,"Rua Paula Xavier, 1726 - Santo Antonio",58091,33,1,1,0,Santo Antonio
Apartamento em Orfãs,"Rua Paula Xavier, 952 - Orfãs",196724,62,2,1,1,Orfãs
Apartamento em Nova Russia,"Rua Balduino Taques, 981 - Nova Russia",133260,46,1,1,0,Nova Russia
Apartamento em Vila Estrela,"Av. Vicente Machado, 311 - Vila Estrela",1124613,195,4,3,2,Vila Estrela
Apartamento em Santa Paula,"Rua Balduino Taques, 1795 - Santa Paula",167077,53,2,1,1,Santa Paula
Apartamento em Jardim Carvalho,"Rua do Rosario, 1873 - Jardim Carvalho",368571,78,2,2,1,Jardim Carvalho
Apartamento em Estrela,"Av. Vicente Machado, 1884 - Estrela",257435,55,2,1,1,Estrela
Apartamento em Orfãs,"Rua Paula Xavier, 838 - Orfãs",237529,67,2,1,1,Orfãs
Apartamento em Neves,"Rua Comendador Miró, 2339 - Neves",75548,36,2,1,0,Neves
Apartamento em Oficinas,"Rua Balduino Taques, 1916 - Oficinas",248493,65,2,1,1,Oficinas
Apartamento em Santo Antonio,"Rua Paula Xavier, 910 - Santo Antonio",133408,46,1,1,0,Santo Antonio
Apartamento em Contorno,"Rua Comendador Miró, 2514 - Contorno",142542,41,1,1,0,Contorno
Apartamento em Estrela,"Rua do Rosario, 950 - Estrela",203269,39,1,1,0,Estrela
Apartamento em Uvaranas,"Rua do Rosario, 2013 - Uvaranas",176564,62,2,1,1,Uvaranas
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 1153 - Orfãs",202833,75,2,2,1,Orfãs
Apartamento em Centro,"Rua Comendador Miró, 1020 - Centro",256013,37,1,1,0,Centro
Apartamento em Ronda,"Rua do Rosario, 920 - Ronda",87065,30,1,1,0,Ronda
Apartamento em Jardim Carvalho,"Av. Carlos Cavalcanti, 191 - Jardim Carvalho",610858,172,6,3,2,Jardim Carvalho
Apartamento em Oficinas,"Rua Comendador Miró, 2075 - Oficinas",134238,46,1,1,0,Oficinas
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 1973 - Oficinas",409455,124,3,3,2,Oficinas
Apartamento em Nova Russia,"Av. Vicente Machado, 350 - Nova Russia",40351,39,1,1,0,Nova Russia
